County,State,Total,Low Food Access (10 Miles),Low-Income Population 10 miles,Seniors,Household Vehicle Access
Marshall County,West Virginia,33107,1,0,0,0
Mason County,West Virginia,27324,1263,591,199,41
McDowell County,West Virginia,22113,733,435,132,47
Mercer County,West Virginia,62264,456,227,71,7
Mineral County,West Virginia,28212,143,48,19,6
Mingo County,West Virginia,26839,450,198,47,14
Monongalia County,West Virginia,96189,2507,873,425,84
Monroe County,West Virginia,13502,5355,2529,1201,108
Morgan County,West Virginia,17541,1774,783,329,53
Nicholas County,West Virginia,26233,2206,1042,436,55
Ohio County,West Virginia,44443,0,0,0,0
Pendleton County,West Virginia,7695,3713,1568,714,65
Pleasants County,West Virginia,7605,0,0,0,0
Pocahontas County,West Virginia,8719,4158,1719,793,116
Preston County,West Virginia,33520,6767,2610,718,81
Putnam County,West Virginia,55486,311,83,44,0
Raleigh County,West Virginia,78859,1858,1076,286,33
Randolph County,West Virginia,29405,2351,901,458,64
Ritchie County,West Virginia,10449,1120,496,206,24
Roane County,West Virginia,14926,2148,1203,409,75
Summers County,West Virginia,13927,2541,941,280,21
Taylor County,West Virginia,16895,0,0,0,0
Tucker County,West Virginia,7141,205,65,53,8
Tyler County,West Virginia,9208,120,65,24,8
Upshur County,West Virginia,24254,140,83,22,2
Wayne County,West Virginia,42481,626,378,96,26
Webster County,West Virginia,9154,461,200,112,38
Wetzel County,West Virginia,16583,1282,586,225,21
Wirt County,West Virginia,5717,86,37,13,1
Wood County,West Virginia,86956,678,246,76,6
Wyoming County,West Virginia,23796,3,1,0,0
Adams County,Wisconsin,20875,2071,762,429,24
Ashland County,Wisconsin,16157,4101,1634,749,116
Barron County,Wisconsin,45870,1695,522,340,29
Bayfield County,Wisconsin,15014,4532,1543,1170,52
Brown County,Wisconsin,248007,0,0,0,0
Buffalo County,Wisconsin,13587,3166,734,616,38
Burnett County,Wisconsin,15457,1518,449,553,16
Calumet County,Wisconsin,48971,9,2,2,0
Chippewa County,Wisconsin,62415,677,198,107,12
Clark County,Wisconsin,34690,6380,2377,1078,217
Columbia County,Wisconsin,56833,16,5,2,1
Crawford County,Wisconsin,16644,249,93,35,7
Dane County,Wisconsin,488073,51,7,6,0
Dodge County,Wisconsin,88759,0,0,0,0
Door County,Wisconsin,27785,642,119,212,9
Douglas County,Wisconsin,44159,5493,1245,874,46
Dunn County,Wisconsin,43857,2762,689,411,36
Eau Claire County,Wisconsin,98736,395,133,65,11
Florence County,Wisconsin,4423,528,222,131,11
Fond du Lac County,Wisconsin,101633,708,115,109,6
Forest County,Wisconsin,9304,3548,1159,821,39
Grant County,Wisconsin,51208,2954,827,525,25
Green County,Wisconsin,36842,178,33,23,2
Green Lake County,Wisconsin,19051,299,109,56,18
Iowa County,Wisconsin,23687,1551,258,196,9
Iron County,Wisconsin,5916,597,180,153,6
Jackson County,Wisconsin,20449,5563,1822,874,120
Jefferson County,Wisconsin,83686,0,0,0,0
Juneau County,Wisconsin,26664,5394,1904,1001,84
Kenosha County,Wisconsin,166426,0,0,0,0
Kewaunee County,Wisconsin,20574,0,0,0,0
La Crosse County,Wisconsin,114638,539,121,54,2
Lafayette County,Wisconsin,16836,2579,677,424,47
Langlade County,Wisconsin,19977,4845,1502,1257,64
Lincoln County,Wisconsin,28743,2056,596,333,15
Manitowoc County,Wisconsin,81442,256,44,29,2
Marathon County,Wisconsin,134063,4441,1017,591,26
Marinette County,Wisconsin,41749,4652,1879,1102,63
Marquette County,Wisconsin,15404,269,50,45,2
Menominee County,Wisconsin,4232,924,610,85,34
Milwaukee County,Wisconsin,947735,0,0,0,0
Monroe County,Wisconsin,44673,2444,796,317,46
Oconto County,Wisconsin,37660,2488,829,558,28
Oneida County,Wisconsin,35998,2184,554,574,18
Outagamie County,Wisconsin,176695,0,0,0,0
Ozaukee County,Wisconsin,86395,14,1,3,0
Pepin County,Wisconsin,7469,0,0,0,0
Pierce County,Wisconsin,41019,4152,1125,721,70
Polk County,Wisconsin,44205,918,266,148,10
Portage County,Wisconsin,70019,2229,550,297,33
Price County,Wisconsin,14159,2005,711,394,26
Racine County,Wisconsin,195408,0,0,0,0
Richland County,Wisconsin,18021,3605,1395,610,62
Rock County,Wisconsin,160331,0,0,0,0
Rusk County,Wisconsin,14755,4567,1638,930,71
Sauk County,Wisconsin,61976,252,86,20,7
Sawyer County,Wisconsin,16557,3297,1129,793,47
Shawano County,Wisconsin,41949,4216,1441,682,60
Sheboygan County,Wisconsin,115507,658,92,67,4
St. Croix County,Wisconsin,84345,341,73,32,3
Taylor County,Wisconsin,20689,5933,1971,1051,109
Trempealeau County,Wisconsin,28816,672,172,105,10
Vernon County,Wisconsin,29773,4035,1539,687,107
Vilas County,Wisconsin,21430,2169,651,749,19
Walworth County,Wisconsin,102228,0,0,0,0
Washburn County,Wisconsin,15911,2517,725,646,36
Washington County,Wisconsin,131887,0,0,0,0
Waukesha County,Wisconsin,389891,0,0,0,0
Waupaca County,Wisconsin,52410,1521,363,295,29
Waushara County,Wisconsin,24496,2284,506,386,29
Winnebago County,Wisconsin,166994,429,75,90,7
Wood County,Wisconsin,74749,5820,1786,776,90
Albany County,Wyoming,36299,2027,471,413,8
Big Horn County,Wyoming,11668,2176,661,365,23
Campbell County,Wyoming,46133,3674,672,285,38
Carbon County,Wyoming,15885,3795,1494,678,39
Converse County,Wyoming,13833,995,246,150,14
Crook County,Wyoming,7083,1910,405,329,20
Fremont County,Wyoming,40123,3575,1133,588,35
Goshen County,Wyoming,13249,2654,775,499,17
Hot Springs County,Wyoming,4812,387,107,42,7
Johnson County,Wyoming,8569,1486,345,247,1
Laramie County,Wyoming,91738,6026,1099,711,54
Lincoln County,Wyoming,18106,1922,701,216,0
Natrona County,Wyoming,75450,2197,483,269,12
Niobrara County,Wyoming,2484,545,230,146,1
Park County,Wyoming,28205,3176,813,630,32
Platte County,Wyoming,8667,1297,377,279,18
Sheridan County,Wyoming,29116,4547,1310,741,8
Sublette County,Wyoming,10247,2033,438,257,9
Sweetwater County,Wyoming,43806,2548,759,255,18
Teton County,Wyoming,21294,1677,383,218,0
Uinta County,Wyoming,21118,726,290,97,9
Washakie County,Wyoming,8533,902,218,218,7
Weston County,Wyoming,7208,840,247,154,2
